
**************************************************************************
P=8 S=10 chain_strength=18000.0

**************************************************************************
P=8 S=10 chain_strength=18000.0

**************************************************************************
P=8 S=10 chain_strength=18000.0
SAMPLE: {0: -1, 1: 0, 2: -1, 3: -1, 4: 0, 5: 0, 6: 1, 7: 1, 8: -1, 9: 0, 10: 1, 11: 0, 12: 1, 13: 0, 14: -1, 15: 0, 16: -1, 17: 0}, ENERGY: [13913.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: 0, 2: -1, 3: -1, 4: -1, 5: -1, 6: 0, 7: 0, 8: -1, 9: 0, 10: 1, 11: 1, 12: -1, 13: -1, 14: 1, 15: 0, 16: 0, 17: 0}, ENERGY: [7605.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: 0, 2: -1, 3: -1, 4: -1, 5: 0, 6: 1, 7: 1, 8: -1, 9: 1, 10: 0, 11: 0, 12: -1, 13: -1, 14: -1, 15: 1, 16: 0, 17: 0}, ENERGY: [1581.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: 0, 2: -1, 3: -1, 4: -1, 5: -1, 6: 1, 7: 1, 8: -1, 9: 0, 10: 1, 11: 0, 12: -1, 13: -1, 14: -1, 15: 1, 16: 1, 17: 0}, ENERGY: [3425.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 0, 2: -1, 3: -1, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: -1, 10: 0, 11: 1, 12: 1, 13: -1, 14: 1, 15: 0, 16: 1, 17: 0}, ENERGY: [13989.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: 0, 3: 0, 4: -1, 5: 1, 6: -1, 7: -1, 8: -1, 9: 0, 10: -1, 11: 0, 12: 0, 13: -1, 14: -1, 15: 0, 16: -1, 17: 0}, ENERGY: [13475.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: 0, 2: 0, 3: -1, 4: -1, 5: 0, 6: 0, 7: 1, 8: -1, 9: 1, 10: -1, 11: -1, 12: 0, 13: -1, 14: 0, 15: -1, 16: -1, 17: -1}, ENERGY: [4745.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: -1, 2: -1, 3: -1, 4: 1, 5: 1, 6: 0, 7: 1, 8: -1, 9: 0, 10: 0, 11: 1, 12: 1, 13: -1, 14: 0, 15: 0, 16: 0, 17: 0}, ENERGY: [10152.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: 0, 2: -1, 3: -1, 4: -1, 5: 0, 6: 1, 7: 0, 8: -1, 9: 1, 10: 0, 11: -1, 12: -1, 13: -1, 14: 0, 15: 0, 16: -1, 17: 1}, ENERGY: [7465.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: 0, 2: -1, 3: -1, 4: 0, 5: -1, 6: 1, 7: 0, 8: -1, 9: 1, 10: 0, 11: 1, 12: 0, 13: 0, 14: -1, 15: 0, 16: -1, 17: 0}, ENERGY: [10847.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: 0, 2: 0, 3: 1, 4: -1, 5: 0, 6: 0, 7: -1, 8: -1, 9: 0, 10: 0, 11: -1, 12: 0, 13: -1, 14: -1, 15: 0, 16: -1, 17: -1}, ENERGY: [6461.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: 0, 2: -1, 3: 0, 4: -1, 5: -1, 6: 0, 7: -1, 8: -1, 9: 0, 10: -1, 11: 1, 12: 0, 13: -1, 14: -1, 15: 1, 16: 0, 17: 0}, ENERGY: [13738.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: 1, 2: 0, 3: -1, 4: -1, 5: 0, 6: 0, 7: 1, 8: 0, 9: -1, 10: -1, 11: 0, 12: 0, 13: -1, 14: -1, 15: 1, 16: -1, 17: 1}, ENERGY: [12238.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: -1, 2: 1, 3: -1, 4: 0, 5: 1, 6: -1, 7: 1, 8: -1, 9: 1, 10: -1, 11: 0, 12: 1, 13: -1, 14: 0, 15: -1, 16: -1, 17: -1}, ENERGY: [2000.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 0, 2: 0, 3: -1, 4: 1, 5: 1, 6: 0, 7: 1, 8: -1, 9: 0, 10: 0, 11: 0, 12: 0, 13: -1, 14: 0, 15: 0, 16: -1, 17: 0}, ENERGY: [11393.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: 1, 2: 0, 3: -1, 4: -1, 5: 0, 6: 0, 7: 0, 8: -1, 9: 1, 10: 0, 11: 0, 12: 0, 13: -1, 14: 0, 15: 0, 16: -1, 17: -1}, ENERGY: [13026.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: -1, 2: 1, 3: 0, 4: 0, 5: 1, 6: -1, 7: -1, 8: -1, 9: 1, 10: -1, 11: 1, 12: 0, 13: -1, 14: -1, 15: -1, 16: -1, 17: 0}, ENERGY: [6065.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: -1, 3: -1, 4: 0, 5: 1, 6: 0, 7: 0, 8: -1, 9: 0, 10: 0, 11: 0, 12: 1, 13: -1, 14: 0, 15: 0, 16: 0, 17: 1}, ENERGY: [11554.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: -1, 3: -1, 4: -1, 5: 1, 6: 1, 7: 0, 8: 0, 9: 0, 10: -1, 11: 0, 12: 0, 13: -1, 14: 0, 15: -1, 16: 1, 17: 0}, ENERGY: [7642.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: 0, 2: 0, 3: -1, 4: -1, 5: 0, 6: 1, 7: 0, 8: -1, 9: 1, 10: 1, 11: 0, 12: -1, 13: -1, 14: -1, 15: 0, 16: 1, 17: 1}, ENERGY: [10543.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: -1, 2: 0, 3: -1, 4: 1, 5: 1, 6: -1, 7: 1, 8: -1, 9: 1, 10: 1, 11: 0, 12: 0, 13: 0, 14: 0, 15: -1, 16: -1, 17: -1}, ENERGY: [4238.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: -1, 2: 1, 3: -1, 4: -1, 5: 0, 6: -1, 7: 1, 8: -1, 9: 1, 10: 1, 11: -1, 12: 0, 13: -1, 14: 0, 15: 0, 16: -1, 17: 0}, ENERGY: [2492.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 1, 2: -1, 3: -1, 4: 0, 5: 0, 6: 1, 7: 1, 8: -1, 9: 0, 10: 0, 11: 1, 12: 1, 13: 0, 14: -1, 15: -1, 16: 0, 17: 0}, ENERGY: [13860.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: -1, 2: -1, 3: 0, 4: -1, 5: 1, 6: 0, 7: 1, 8: -1, 9: 0, 10: 0, 11: 0, 12: 0, 13: -1, 14: -1, 15: 1, 16: 0, 17: 0}, ENERGY: [11993.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: 0, 2: -1, 3: -1, 4: -1, 5: 0, 6: 1, 7: 1, 8: -1, 9: 0, 10: 1, 11: 0, 12: 0, 13: 0, 14: -1, 15: 0, 16: -1, 17: -1}, ENERGY: [717.0], OCCURENCES: 1
